predicted_prob,predicted_label,true_label,expected_accuracy
0.4992281549868016,1,1,0.4992281549868016
0.4711819567708904,1,0,0.5288180432291096
0.5057334250428718,0,1,0.5057334250428718
0.47675381558390517,1,1,0.47675381558390517
0.5110648410570481,0,1,0.5110648410570481
0.47600062765682016,0,0,0.5239993723431798
0.4822046019582043,0,1,0.4822046019582043
0.4978529004835213,0,1,0.4978529004835213
0.5131876320731883,0,1,0.5131876320731883
0.5180124432738394,1,1,0.5180124432738394
0.5010063390850656,0,1,0.5010063390850656
0.49448347309533713,1,1,0.49448347309533713
0.5155308121335589,1,0,0.4844691878664411
0.4926874572742845,0,1,0.4926874572742845
0.5088375516775604,0,0,0.4911624483224396
0.4943237856004201,0,0,0.5056762143995799
0.49086115996485513,0,0,0.5091388400351449
0.5019819654576964,0,0,0.49801803454230364
0.4885230019834152,1,0,0.5114769980165847
0.4994064185816127,1,1,0.4994064185816127
0.4944754507707347,1,0,0.5055245492292653
0.49066835433487316,1,0,0.5093316456651269
0.4885192600008808,0,0,0.5114807399991192
0.4962529619734201,0,1,0.4962529619734201
0.4992667464315699,0,1,0.4992667464315699
0.4912781297981076,0,1,0.4912781297981076
0.4749151352242648,0,1,0.4749151352242648
0.481326510121678,1,1,0.481326510121678
0.5075716128570535,1,0,0.49242838714294646
0.4966416250661287,0,0,0.5033583749338713
0.4888429093751148,0,0,0.5111570906248852
0.49886372320146904,0,1,0.49886372320146904
0.4819678692199723,0,0,0.5180321307800277
0.4937802032255232,1,0,0.5062197967744768
0.5027375454375675,0,1,0.5027375454375675
0.45247790919877906,1,1,0.45247790919877906
0.4650628522169383,1,0,0.5349371477830617
0.480348227332812,1,0,0.519651772667188
0.48750890169154454,0,1,0.48750890169154454
0.4987820890448859,0,1,0.4987820890448859
0.5195683862440985,0,1,0.5195683862440985
0.49439906415481216,1,1,0.49439906415481216
0.5061734502616638,1,1,0.5061734502616638
0.48202770444912735,0,0,0.5179722955508727
0.5081686078977381,1,1,0.5081686078977381
0.5068883643143005,1,0,0.4931116356856995
0.4883778286226918,1,1,0.4883778286226918
0.5182938914546187,0,0,0.4817061085453813
